Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1961,0.07,0.18,0.09,0.15,0.13,0.12,-0.03,0.02,0.05,0,0.03,-0.15,0.05,0.08,0.14,0.12,0.04,0.03
1962,0.08,0.14,0.12,0.05,-0.06,0.06,-0.02,-0.02,-0.01,-0.03,0.07,-0.01,0.03,0.02,0.02,0.04,0,0.01
1963,-0.03,0.19,-0.14,-0.05,-0.09,0.03,0.08,0.25,0.2,0.15,0.15,0,0.06,0.06,0.05,-0.09,0.12,0.17
1964,-0.06,-0.12,-0.22,-0.3,-0.25,-0.07,-0.07,-0.21,-0.29,-0.3,-0.21,-0.3,-0.2,-0.17,-0.06,-0.26,-0.12,-0.27
1965,-0.08,-0.17,-0.11,-0.2,-0.14,-0.08,-0.12,-0.01,-0.15,-0.04,-0.06,-0.05,-0.1,-0.12,-0.18,-0.15,-0.07,-0.08
1966,-0.16,0,0.04,-0.13,-0.1,0.02,0.08,-0.1,-0.01,-0.15,-0.02,-0.06,-0.05,-0.05,-0.07,-0.07,0,-0.06
1967,-0.06,-0.2,0.03,-0.05,0.14,-0.08,0.01,0.02,-0.04,0.07,-0.06,-0.02,-0.02,-0.02,-0.11,0.04,-0.02,-0.01
1968,-0.23,-0.15,0.21,-0.05,-0.1,-0.06,-0.11,-0.11,-0.18,0.12,-0.04,-0.14,-0.07,-0.06,-0.13,0.02,-0.09,-0.04
1969,-0.11,-0.14,0,0.19,0.2,0.05,-0.01,0.03,0.1,0.11,0.12,0.27,0.07,0.03,-0.13,0.13,0.02,0.11
1970,0.09,0.22,0.07,0.09,-0.05,-0.03,-0.04,-0.11,0.11,0.04,0.01,-0.13,0.02,0.06,0.2,0.04,-0.06,0.06
1971,-0.02,-0.2,-0.18,-0.09,-0.06,-0.18,-0.12,-0.03,-0.01,-0.06,-0.04,-0.08,-0.09,-0.09,-0.12,-0.11,-0.11,-0.03
